,id,name,neighbourhood_cleansed,host_id,host_name,neighbourhood_group_cleansed,latitude,longitude,property_type,accommodates,price,minimum_nights,number_of_reviews,review_scores_rating
8559,567207027117135670,COZY-Optimale Raumnutzung mit schicker Ausstattung,Moabit West,342119665,KPM Hotel & Residences,Mitte,52.51689,13.33179,Entire serviced apartment,2,$110.00,30,7,4.86
8560,567211134740428720,Studio KPM-Flair und viel Komfort,Otto-Suhr-Allee,342119665,KPM Hotel & Residences,Charlottenburg-Wilm.,52.51459,13.33298,Entire serviced apartment,2,$115.00,30,4,5.0
8561,567531466249191053,Kinderfreundliche EG-Wohnung mit eigenem Garten,Südliche Friedrichstadt,250923850,Joachim,Friedrichshain-Kreuzberg,52.5053,13.39748,Entire condo,4,$99.00,92,0,
8562,567786759015244606,numa I Cozy Suite at Oberbaumbrücke,Karl-Marx-Allee-Süd,371913052,Numa Kater,Friedrichshain-Kreuzberg,52.50367,13.446684,Entire serviced apartment,2,$137.00,1,36,4.81
8563,567815171216835059,Parkview Deluxe,Brunnenstr. Süd,1194258,Stefan,Mitte,52.53222,13.40313,Entire condo,3,$152.00,5,36,4.86
8564,568504774522092058,"numa I Freshly Renovated Suite, Warschauer Straße",Karl-Marx-Allee-Süd,371913052,Numa Kater,Friedrichshain-Kreuzberg,52.50367,13.446684,Entire serviced apartment,4,$190.00,1,47,4.66
8565,568511267628962810,numa I Spacious Apartment at Eastside Gallery,Karl-Marx-Allee-Süd,371913052,Numa Kater,Friedrichshain-Kreuzberg,52.50367,13.446684,Entire serviced apartment,4,$212.00,1,28,4.82
8566,568518385545605519,numa I Homely Apartment at Eastside Gallery,Karl-Marx-Allee-Süd,371913052,Numa Kater,Friedrichshain-Kreuzberg,52.50367,13.446684,Entire serviced apartment,4,$195.00,1,36,4.61
8567,568524181489295763,"Blueground | Charlottenburg, near Kurfürstendamm",Düsseldorfer Straße,434485440,Blueground,Charlottenburg-Wilm.,52.4976041,13.3326964,Entire rental unit,2,$76.00,90,0,
8568,568524485826835987,numa I Homely Apartment at Oberbaumbrücke,Karl-Marx-Allee-Süd,371913052,Numa Kater,Friedrichshain-Kreuzberg,52.50367,13.446684,Entire serviced apartment,6,$232.00,1,31,4.81
8569,568536046180605398,numa I Family flat overlooking Warschauer Straße,Karl-Marx-Allee-Süd,371913052,Numa Kater,Friedrichshain-Kreuzberg,52.50367,13.446684,Entire serviced apartment,7,$320.00,1,71,4.49
8570,568559238557249296,numa I Family apartment on Warschauer Straße,Karl-Marx-Allee-Süd,371913052,Numa Kater,Friedrichshain-Kreuzberg,52.50367,13.446684,Entire serviced apartment,9,$356.00,1,57,4.7
8571,568570711589229509,Şehir İncisi: Sessiz Merkezi Kış Balkonu & Neflix,Marzahn-Mitte,265405461,Hasan,Marzahn - Hellersdorf,52.54611,13.54755,Entire rental unit,3,$130.00,3,4,4.5
8572,569164907342433536,Double Room for Single Use,Brunnenstr. Nord,446459685,Citylight,Mitte,52.54945,13.38125,Room in hotel,1,,1,7,4.43
8573,569167301939661798,Double room | Citylight Hotel Berlin,Brunnenstr. Nord,446459685,Citylight,Mitte,52.55015,13.38311,Room in hotel,2,$194.00,1,5,4.8
8574,569168063883091750,Comfort double room for single use,Brunnenstr. Nord,446459685,Citylight,Mitte,52.54963,13.38161,Room in hotel,2,$174.00,1,67,4.52
8575,569168743565117705,Comfort double room | Citylight Hotel Berlin,Brunnenstr. Nord,446459685,Citylight,Mitte,52.54823,13.38158,Room in hotel,2,,1,0,
